City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,nemuro,43.3236,145.575,290.64,100,100,4.07,JP,1723064618
142,dunedin,-45.8742,170.5036,282.48,77,100,4.72,NZ,1723064959
143,nova sintra,14.8667,-24.7167,298.77,84,89,6.06,CV,1723064506
144,hithadhoo,-0.6,73.0833,301.77,71,100,2.54,MV,1723064962
145,tazovsky,67.4667,78.7,281.34,78,100,5.79,RU,1723064963
146,midvagur,62.0511,-7.1939,283.61,100,75,1.03,FO,1723064964
147,cururupu,-1.8283,-44.8683,299.02,76,15,1.89,BR,1723064965
148,yongfeng,27.4283,112.1834,299.91,77,29,1.9,CN,1723064966
149,longyearbyen,78.2186,15.6401,284.06,93,75,1.03,SJ,1723064390
150,qulsary,46.9531,54.0198,301.16,44,96,4.64,KZ,1723064969
151,weno,7.4515,151.8468,302.12,79,40,1.54,FM,1723064599
152,kavaratti,10.5669,72.642,300.49,83,100,6.3,IN,1723064971
153,sabang,5.8933,95.3214,302.26,75,100,4.62,ID,1723064973
154,khlevnoye,52.1951,39.0932,290.16,90,89,2.05,RU,1723064974
155,acapulco de juarez,16.8634,-99.8901,305.05,62,75,6.17,MX,1723064915
156,tofol,5.3248,163.0078,301.75,71,85,3.18,FM,1723064977
157,port elizabeth,-33.918,25.5701,286.1,53,0,1.54,ZA,1723064532
158,murun-kuren,49.6342,100.1625,286.82,72,100,0.53,MN,1723064979
159,awjilah,29.1081,21.2869,306.53,22,0,2.99,LY,1723064980
160,holyhead,53.3062,-4.6321,289.15,88,100,8.75,GB,1723064981
161,buerarema,-14.9594,-39.2997,292.58,92,50,1.21,BR,1723064982
162,kamina,-8.7386,24.9906,291.96,21,75,1.86,CD,1723064984
163,grand baie,-20.0182,57.5802,292.84,82,0,0.89,MU,1723064844
164,mount pearl,47.5166,-52.7813,293.4,69,100,8.23,CA,1723064986
165,eirunepe,-6.6603,-69.8736,303.65,57,99,1.79,BR,1723064987
166,yuanping,38.7153,112.7575,290.71,93,0,0.2,CN,1723064988
167,peterhead,57.5058,-1.7981,288.4,72,3,6.85,GB,1723064989
168,whakatane,-37.9585,176.9854,283.58,87,100,2.18,NZ,1723064990
169,gilgit,35.9221,74.3087,298.68,53,8,1.75,PK,1723064992
170,ceylanpinar,36.8472,40.05,306.52,29,0,3.12,TR,1723064993
171,dongobesh,-4.0667,35.3833,286.18,62,10,3.22,TZ,1723064994
172,el abiodh sidi cheikh,32.893,0.5484,306.23,15,0,3.32,DZ,1723064995
173,whitehorse,60.7161,-135.0538,298.16,33,0,7.2,CA,1723064390
174,iskateley,67.6803,53.1512,278.66,90,9,3.08,RU,1723064569
175,askoy,60.4092,5.226,288.57,100,75,8.23,NO,1723064999
176,klyuchi,52.2667,79.1667,292.02,86,100,2.98,RU,1723064596
